date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-03-06,36.19,36.6,37.46,35.93,27127,140032678.0,4.15,-0.84,-0.31,3.85
2020-03-09,36.46,33.9,36.46,33.79,31003,151694844.0,7.3,-7.38,-2.7,4.4
2020-03-10,33.41,35.15,35.17,33.41,29505,142916385.0,5.19,3.69,1.25,4.18
2020-03-11,35.45,33.61,35.66,33.6,35064,169206412.0,5.86,-4.38,-1.54,4.97
2020-03-12,33.32,32.37,33.32,31.54,35308,161095530.0,5.3,-3.69,-1.24,5.01
2020-03-13,30.6,31.94,32.51,30.04,37055,163357155.0,7.63,-1.33,-0.43,5.25
2020-03-16,32.18,29.58,32.46,29.11,40478,173524555.0,10.49,-7.39,-2.36,5.74
2020-03-17,29.97,29.01,30.69,28.25,35056,143634138.0,8.25,-1.93,-0.57,4.97
2020-03-18,29.42,29.19,31.2,29.11,42482,179668660.0,7.2,0.62,0.18,6.02
2020-03-19,29.75,29.96,30.19,28.76,38382,159648196.0,4.9,2.64,0.77,5.44
2020-03-20,30.56,29.71,30.68,29.24,29562,124134662.0,4.81,-0.83,-0.25,4.19
2020-03-23,28.11,28.09,28.95,27.67,30221,120751554.0,4.31,-5.45,-1.62,4.28
2020-03-24,28.61,28.82,29.09,27.55,36244,145738816.0,5.48,2.6,0.73,5.14
2020-03-25,29.61,29.69,29.89,29.11,32273,134318470.0,2.71,3.02,0.87,4.58
2020-03-26,29.66,28.96,29.66,28.61,19223,78825047.0,3.54,-2.46,-0.73,2.73
2020-03-27,29.25,28.82,29.58,28.62,15756,64564734.0,3.31,-0.48,-0.14,2.23
2020-03-30,27.9,28.42,28.79,27.2,22695,89303088.0,5.52,-1.39,-0.4,3.22
2020-03-31,29.1,28.96,29.75,27.89,35492,144854661.0,6.54,1.9,0.54,5.03
2020-04-01,28.96,28.75,29.56,28.32,26492,108284760.0,4.28,-0.73,-0.21,3.76
2020-04-02,28.67,29.67,29.76,28.21,33882,137299994.0,5.39,3.2,0.92,4.8
2020-04-03,29.39,28.31,29.44,28.15,32517,130884533.0,4.35,-4.58,-1.36,4.61
2020-04-07,29.07,29.41,29.73,29.02,38926,161013278.0,2.51,3.89,1.1,5.52
2020-04-08,29.3,30.44,30.45,28.91,40327,170634070.0,5.24,3.5,1.03,5.72
2020-04-09,30.54,30.16,31.19,29.74,36856,156840557.0,4.76,-0.92,-0.28,5.23
2020-04-10,29.91,30.37,30.52,29.63,28511,121101892.0,2.95,0.7,0.21,4.04
2020-04-13,29.88,29.01,30.04,28.4,25820,106440660.0,5.4,-4.48,-1.36,3.66
2020-04-14,29.29,29.51,29.59,28.82,16041,66033066.0,2.65,1.72,0.5,2.27
2020-04-15,29.57,30.39,31.15,29.01,36470,154506589.0,7.25,2.98,0.88,5.17
2020-04-16,30.02,30.34,30.84,30.02,23348,99876288.0,2.7,-0.16,-0.05,3.31
2020-04-17,30.5,31.57,31.83,30.5,44583,197056501.0,4.38,4.05,1.23,6.32
